"Indicator","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Display Value","Numeric","Low","High","Comments"
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Europe","High-income","Austria","35 [35-36]","35","35","36",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Europe","Upper-middle-income","Kazakhstan","312 [154-526]","312","154","526",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Eastern Mediterranean","Lower-middle-income","Djibouti","929 [449-1579]","929","449","1579",
"Number of prevalent tuberculosis cases ","Published","2012","Europe","Upper-middle-income","Bosnia and Herzegovina","2800 [1300-4800]","2800","1300","4800",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Americas","Upper-middle-income","Saint Vincent and the Grenadines","24 [5.6-56]","24","5.6","56",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Africa","Lower-middle-income","Swaziland","757 [129-1925]","757","129","1925",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Americas","Lower-middle-income","Ecuador","730 [630-840]","730","630","840",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Africa","Low-income","Chad","221 [109-372]","221","109","372",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Western Pacific","High-income","Republic of Korea","2600 [160-8500]","2600","160","8500",
"Number of prevalent tuberculosis cases ","Published","2012","Europe","High-income","Luxembourg","53 [26-89]","53","26","89",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Europe","Upper-middle-income","Belarus","820 [770-870]","820","770","870",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Europe","High-income","Iceland","0.31 [0.3-0.31]","0.31","0.3","0.31",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Eastern Mediterranean","High-income","Saudi Arabia","22 [9.1-40]","22","9.1","40",
"Number of prevalent tuberculosis cases ","Published","2010","Africa","Low-income","Comoros","420 [210-710]","420","210","710",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Eastern Mediterranean","Lower-middle-income","Pakistan","402 [199-675]","402","199","675",
"Number of prevalent tuberculosis cases ","Published","2010","Americas","Upper-middle-income","Dominica","13 [5.6-24]","13","5.6","24",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Western Pacific","High-income","Nauru","0.95 [0.44-1.7]","0.95","0.44","1.7",
"Number of prevalent tuberculosis cases ","Published","2009","Western Pacific","Low-income","Lao People's Democratic Republic","37000 [24000-54000]","37000","24000","54000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Western Pacific","High-income","Australia","8.1 [3.4-15]","8.1","3.4","15",
"Number of prevalent tuberculosis cases ","Published","2009","Europe","Upper-middle-income","Bulgaria","4300 [1900-7800]","4300","1900","7800",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Africa","Lower-middle-income","Sao Tome and Principe","15 [6.1-27]","15","6.1","27",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Eastern Mediterranean","Upper-middle-income","Lebanon","54 [29-88]","54","29","88",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Europe","Upper-middle-income","Montenegro","29 [13-51]","29","13","51",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Europe","Upper-middle-income","Bulgaria","2 [2-2.1]","2","2","2.1",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Europe","Lower-middle-income","Azerbaijan","390 [340-450]","390","340","450",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Africa","Low-income","Uganda","207 [80-392]","207","80","392",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Americas","Upper-middle-income","Saint Lucia","11 [3.8-22]","11","3.8","22",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Eastern Mediterranean","Lower-middle-income","Morocco","3000 [1400-5100]","3000","1400","5100",
"Number of prevalent tuberculosis cases ","Published","2012","Africa","Low-income","Liberia","21000 [10000-35000]","21000","10000","35000",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Americas","High-income","Trinidad and Tobago","21 [20-21]","21","20","21",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Americas","Upper-middle-income","Panama","52 [16-110]","52","16","110",
"Number of prevalent tuberculosis cases ","Published","2012","Europe","High-income","Germany","6400 [2800-12000]","6400","2800","12000",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Africa","Upper-middle-income","Seychelles","1.7 [1.6-1.7]","1.7","1.6","1.7",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Africa","Low-income","Niger","18 [8-33]","18","8","33",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Western Pacific","Upper-middle-income","Fiji","18 [18-19]","18","18","19",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Western Pacific","High-income","Nauru","62 [19-132]","62","19","132",
"Number of prevalent tuberculosis cases ","Published","2007","Western Pacific","High-income","Brunei Darussalam","350 [160-610]","350","160","610",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Eastern Mediterranean","High-income","United Arab Emirates","0.26 [0-1.8]","0.26","0","1.8",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Europe","Lower-middle-income","Georgia","4.2 [3.5-4.9]","4.2","3.5","4.9",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Americas","Lower-middle-income","Ecuador","410 [350-480]","410","350","480",
"Number of prevalent tuberculosis cases ","Published","2008","Africa","Low-income","Sierra Leone","68000 [33000-120000]","68000","33000","120000",
"Number of prevalent tuberculosis cases ","Published","2009","Europe","Upper-middle-income","Latvia","1300 [500-2600]","1300","500","2600",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Americas","Upper-middle-income","Dominican Republic","530 [390-680]","530","390","680",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Africa","Upper-middle-income","Seychelles","49 [21-90]","49","21","90",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Europe","High-income","Estonia","36 [35-36]","36","35","36",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Western Pacific","High-income","Cook Islands","0.53 [0.02-1.9]","0.53","0.02","1.9",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Western Pacific","Upper-middle-income","Palau","4.7 [1.9-8.8]","4.7","1.9","8.8",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Europe","Upper-middle-income","Poland","670 [640-700]","670","640","700",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Africa","Low-income","Ethiopia","21 [14-29]","21","14","29",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Western Pacific","Low-income","Viet Nam","246 [102-454]","246","102","454",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Americas","High-income","Canada","7 [3-13]","7","3","13",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","South-East Asia","Lower-middle-income","Maldives","76 [36-133]","76","36","133",
"Number of prevalent tuberculosis cases ","Published","2012","Africa","Low-income","Madagascar","99000 [50000-160000]","99000","50000","160000",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Europe","Low-income","Kyrgyzstan","720 [720-730]","720","720","730",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Western Pacific","High-income","New Zealand","10 [3.9-19]","10","3.9","19",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Africa","Low-income","Guinea","25 [11-46]","25","11","46",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Europe","High-income","Luxembourg","1.9 [1.9-2]","1.9","1.9","2",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Eastern Mediterranean","Lower-middle-income","Egypt","380 [350-400]","380","350","400",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Americas","Lower-middle-income","Guyana","14 [12-17]","14","12","17",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Western Pacific","High-income","Japan","1.7 [1.6-1.7]","1.7","1.6","1.7",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Americas","Upper-middle-income","Chile","1.2 [1.2-1.2]","1.2","1.2","1.2",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Western Pacific","Lower-middle-income","Mongolia","325 [155-558]","325","155","558",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Eastern Mediterranean","Lower-middle-income","Tunisia","36 [15-64]","36","15","64",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Africa","Upper-middle-income","Namibia","953 [330-1898]","953","330","1898",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Americas","Upper-middle-income","Brazil","2.8 [2.6-3]","2.8","2.6","3",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Europe","High-income","Iceland","4.3 [1.5-8.5]","4.3","1.5","8.5",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Americas","Lower-middle-income","Nicaragua","260 [200-330]","260","200","330",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Africa","Low-income","Burundi","18 [8-32]","18","8","32",
"Number of prevalent tuberculosis cases ","Published","2009","Western Pacific","High-income","Japan","38000 [17000-69000]","38000","17000","69000",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Eastern Mediterranean","Lower-middle-income","Syrian Arab Republic","460 [210-820]","460","210","820",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Europe","High-income","Switzerland","0.19 [0.18-0.19]","0.19","0.18","0.19",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Americas","Upper-middle-income","Grenada","0.83 [0.82-0.84]","0.83","0.82","0.84",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Western Pacific","Lower-middle-income","Solomon Islands","17 [7.5-30]","17","7.5","30",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Europe","High-income","Croatia","24 [9.7-46]","24","9.7","46",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Americas","Upper-middle-income","Costa Rica","40 [36-45]","40","36","45",
"Number of prevalent tuberculosis cases ","Published","2011","Western Pacific","High-income","Cook Islands","1.5 [0.23-4]","1.5","0.23","4",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Europe","Low-income","Tajikistan","9 [6.8-12]","9","6.8","12",
"Number of prevalent tuberculosis cases ","Published","2011","Africa","Lower-middle-income","Lesotho","8900 [2800-18000]","8900","2800","18000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Africa","Lower-middle-income","Congo","44 [19-80]","44","19","80",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Europe","High-income","Belgium","35 [35-36]","35","35","36",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","South-East Asia","Lower-middle-income","Thailand","187 [88-322]","187","88","322",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Eastern Mediterranean","High-income","Qatar","69 [33-118]","69","33","118",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Europe","High-income","Ireland","14 [6.2-25]","14","6.2","25",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Europe","Low-income","Kyrgyzstan","11 [11-12]","11","11","12",
