"DE","Year","Country","CO","Numeric"
"Prevalence of tuberculosis (per 100 000 population)","2010","Uganda",,"207"
"Prevalence of tuberculosis (per 100 000 population)","2008","Saint Lucia",,"11"
"Number of deaths due to tuberculosis excluding HIV","2012","Morocco",,"3000"
"Number of prevalent tuberculosis cases ","2012","Liberia",,"21000"
"Number of deaths due to tuberculosis excluding HIV","2008","Trinidad and Tobago",,"21"
"Prevalence of tuberculosis (per 100 000 population)","2007","Panama",,"52"
"Number of prevalent tuberculosis cases ","2012","Germany",,"6400"
"Number of deaths due to tuberculosis excluding HIV","2012","Seychelles",,"1.7"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Niger",,"18"
"Number of deaths due to tuberculosis excluding HIV","2008","Fiji",,"18"
"Prevalence of tuberculosis (per 100 000 population)","2009","Nauru",,"62"
"Number of prevalent tuberculosis cases ","2007","Brunei Darussalam",,"350"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","United Arab Emirates",,"0.26"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Georgia",,"4.2"
"Number of deaths due to tuberculosis excluding HIV","2012","Ecuador",,"410"
"Number of prevalent tuberculosis cases ","2008","Sierra Leone",,"68000"
"Number of prevalent tuberculosis cases ","2009","Latvia",,"1300"
"Number of deaths due to tuberculosis excluding HIV","2010","Dominican Republic",,"530"
"Prevalence of tuberculosis (per 100 000 population)","2009","Seychelles",,"49"
"Number of deaths due to tuberculosis excluding HIV","2010","Estonia",,"36"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Cook Islands",,"0.53"
"Number of deaths due to tuberculosis excluding HIV","2010","Palau",,"4.7"
"Number of deaths due to tuberculosis excluding HIV","2012","Poland",,"670"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Ethiopia",,"21"
"Prevalence of tuberculosis (per 100 000 population)","2009","Viet Nam",,"246"
"Prevalence of tuberculosis (per 100 000 population)","2007","Canada",,"7"
"Prevalence of tuberculosis (per 100 000 population)","2008","Maldives",,"76"
"Number of prevalent tuberculosis cases ","2012","Madagascar",,"99000"
"Number of deaths due to tuberculosis excluding HIV","2007","Kyrgyzstan",,"720"
"Prevalence of tuberculosis (per 100 000 population)","2008","New Zealand",,"10"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Guinea",,"25"
"Number of deaths due to tuberculosis excluding HIV","2007","Luxembourg",,"1.9"
"Number of deaths due to tuberculosis excluding HIV","2012","Egypt",,"380"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Guyana",,"14"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Japan",,"1.7"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Chile",,"1.2"
"Prevalence of tuberculosis (per 100 000 population)","2007","Mongolia",,"325"
"Prevalence of tuberculosis (per 100 000 population)","2008","Tunisia",,"36"
"Prevalence of tuberculosis (per 100 000 population)","2009","Namibia",,"953"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Brazil",,"2.8"
"Prevalence of tuberculosis (per 100 000 population)","2012","Iceland",,"4.3"
"Number of deaths due to tuberculosis excluding HIV","2010","Nicaragua",,"260"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Burundi",,"18"
"Number of prevalent tuberculosis cases ","2009","Japan",,"38000"
"Number of deaths due to tuberculosis excluding HIV","2012","Syrian Arab Republic",,"460"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Switzerland",,"0.19"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Grenada",,"0.83"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Solomon Islands",,"17"
"Prevalence of tuberculosis (per 100 000 population)","2010","Croatia",,"24"
"Number of deaths due to tuberculosis excluding HIV","2011","Costa Rica",,"40"
"Number of prevalent tuberculosis cases ","2011","Cook Islands",,"1.5"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Tajikistan",,"9"
"Number of prevalent tuberculosis cases ","2011","Lesotho",,"8900"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Congo",,"44"
"Number of deaths due to tuberculosis excluding HIV","2009","Belgium",,"35"
"Prevalence of tuberculosis (per 100 000 population)","2009","Thailand",,"187"
"Prevalence of tuberculosis (per 100 000 population)","2009","Qatar",,"69"
"Prevalence of tuberculosis (per 100 000 population)","2011","Ireland",,"14"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Kyrgyzstan",,"11"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Romania",,"5.9"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Uruguay",,"1.8"
"Number of deaths due to tuberculosis excluding HIV","2012","Bahamas",,"1.4"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Angola",,"31"
"Prevalence of tuberculosis (per 100 000 population)","2009","Uzbekistan",,"274"
"Number of deaths due to tuberculosis excluding HIV","2009","South Africa",,"26000"
"Number of prevalent tuberculosis cases ","2011","Fiji",,"320"
"Number of prevalent tuberculosis cases ","2009","Brazil",,"120000"
"Number of prevalent tuberculosis cases ","2010","Niger",,"30000"
"Number of deaths due to tuberculosis excluding HIV","2012","Oman",,"31"
"Number of deaths due to tuberculosis excluding HIV","2012","Democratic People's Republic of Korea",,"2200"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Russian Federation",,"16"
"Prevalence of tuberculosis (per 100 000 population)","2011","Czech Republic",,"8.5"
"Number of deaths due to tuberculosis excluding HIV","2007","Cameroon",,"6900"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Saudi Arabia",,"3.9"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Honduras",,"3.4"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","United Republic of Tanzania",,"13"
"Number of deaths due to tuberculosis excluding HIV","2011","New Zealand",,"4.4"
"Number of deaths due to tuberculosis excluding HIV","2011","Hungary",,"75"
"Number of deaths due to tuberculosis excluding HIV","2008","Albania",,"14"
"Prevalence of tuberculosis (per 100 000 population)","2008","Cyprus",,"7.1"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Cameroon",,"32"
"Number of prevalent tuberculosis cases ","2007","Russian Federation",,"280000"
"Number of deaths due to tuberculosis excluding HIV","2009","Andorra",,"0.57"
"Number of deaths due to tuberculosis excluding HIV","2011","Slovakia",,"34"
"Number of prevalent tuberculosis cases ","2010","United Arab Emirates",,"520"
"Number of deaths due to tuberculosis excluding HIV","2008","Timor-Leste",,"760"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","China",,"4.8"
"Number of prevalent tuberculosis cases ","2007","Tajikistan",,"22000"
"Prevalence of tuberculosis (per 100 000 population)","2009","Bahamas",,"16"
"Number of deaths due to tuberculosis excluding HIV","2008","Costa Rica",,"55"
"Number of deaths due to tuberculosis excluding HIV","2007","Kuwait",,"27"
"Number of deaths due to tuberculosis excluding HIV","2012","Nepal",,"5500"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Marshall Islands",,"74"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Sri Lanka",,"5.4"
"Prevalence of tuberculosis (per 100 000 population)","2007","C?te d'Ivoire",,"321"
"Prevalence of tuberculosis (per 100 000 population)","2012","Thailand",,"159"
"Number of prevalent tuberculosis cases ","2011","Lebanon",,"910"
"Number of deaths due to tuberculosis excluding HIV","2012","Belgium",,"40"
"Number of deaths due to tuberculosis excluding HIV","2010","Cambodia",,"9800"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Netherlands",,"0.23"
"Number of prevalent tuberculosis cases ","2012","Lao People's Democratic Republic",,"34000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Congo",,"45"
"Number of deaths due to tuberculosis excluding HIV","2008","San Marino",,"0"
"Number of prevalent tuberculosis cases ","2012","Belarus",,"10000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Haiti",,"32"
"Prevalence of tuberculosis (per 100 000 population)","2007","Republic of Moldova",,"253"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Somalia",,"64"
"Number of deaths due to tuberculosis excluding HIV","2008","Vanuatu",,"27"
"Number of deaths due to tuberculosis excluding HIV","2007","Solomon Islands",,"110"
"Prevalence of tuberculosis (per 100 000 population)","2012","Lithuania",,"93"
"Number of prevalent tuberculosis cases ","2011","Trinidad and Tobago",,"260"
"Prevalence of tuberculosis (per 100 000 population)","2012","Uzbekistan",,"135"
"Number of prevalent tuberculosis cases ","2008","Honduras",,"6500"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Sweden",,"0.26"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Peru",,"6.6"
"Prevalence of tuberculosis (per 100 000 population)","2009","Samoa",,"28"
"Number of deaths due to tuberculosis excluding HIV","2012","France",,"300"
"Prevalence of tuberculosis (per 100 000 population)","2007","Mauritius",,"42"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Norway",,"0.06"
"Prevalence of tuberculosis (per 100 000 population)","2007","Nicaragua",,"72"
"Number of prevalent tuberculosis cases ","2011","United States of America",,"16000"
"Number of deaths due to tuberculosis excluding HIV","2010","Antigua and Barbuda",,"1.2"
"Prevalence of tuberculosis (per 100 000 population)","2007","Cuba",,"14"
"Prevalence of tuberculosis (per 100 000 population)","2010","Panama",,"59"
"Prevalence of tuberculosis (per 100 000 population)","2009","Italy",,"11"
"Number of prevalent tuberculosis cases ","2011","Bhutan",,"2000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Kenya",,"20"
"Prevalence of tuberculosis (per 100 000 population)","2008","Barbados",,"2.7"
"Number of prevalent tuberculosis cases ","2009","Somalia",,"51000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Malawi",,"14"
"Number of deaths due to tuberculosis excluding HIV","2009","Tuvalu",,"3.3"
"Number of deaths due to tuberculosis excluding HIV","2010","Cuba",,"39"
"Number of deaths due to tuberculosis excluding HIV","2010","Singapore",,"97"
"Number of deaths due to tuberculosis excluding HIV","2007","Serbia",,"210"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Iraq",,"3.4"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Bangladesh",,"47"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Mauritania",,"88"
"Number of prevalent tuberculosis cases ","2011","Nigeria",,"300000"
"Number of prevalent tuberculosis cases ","2012","Zambia",,"55000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Venezuela (Bolivarian Republic of)",,"2.4"
"Prevalence of tuberculosis (per 100 000 population)","2010","Mongolia",,"353"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Mozambique",,"52"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Peru",,"5.1"
"Number of deaths due to tuberculosis excluding HIV","2008","Tonga",,"2.8"
"Prevalence of tuberculosis (per 100 000 population)","2010","Turkey",,"24"
"Number of prevalent tuberculosis cases ","2010","Cameroon",,"76000"
"Number of deaths due to tuberculosis excluding HIV","2012","Colombia",,"770"
"Number of deaths due to tuberculosis excluding HIV","2009","France",,"370"
"Prevalence of tuberculosis (per 100 000 population)","2008","Bahrain",,"42"
"Number of deaths due to tuberculosis excluding HIV","2007","Afghanistan",,"9500"
"Prevalence of tuberculosis (per 100 000 population)","2011","Honduras",,"84"
"Number of prevalent tuberculosis cases ","2010","Papua New Guinea",,"39000"
"Number of deaths due to tuberculosis excluding HIV","2010","Burkina Faso",,"1400"
"Number of prevalent tuberculosis cases ","2009","Madagascar",,"97000"
"Number of deaths due to tuberculosis excluding HIV","2008","Spain",,"260"
"Prevalence of tuberculosis (per 100 000 population)","2007","Croatia",,"35"
"Number of prevalent tuberculosis cases ","2012","Slovenia",,"190"
"Number of prevalent tuberculosis cases ","2012","Somalia",,"59000"
"Prevalence of tuberculosis (per 100 000 population)","2008","Suriname",,"77"
"Number of prevalent tuberculosis cases ","2012","Bolivia (Plurinational State of)",,"23000"
"Number of prevalent tuberculosis cases ","2008","Romania",,"38000"
"Prevalence of tuberculosis (per 100 000 population)","2012","Bangladesh",,"434"
"Number of deaths due to tuberculosis excluding HIV","2007","Zambia",,"2300"
"Number of deaths due to tuberculosis excluding HIV","2012","Paraguay",,"200"
"Prevalence of tuberculosis (per 100 000 population)","2007","Guinea-Bissau",,"268"
"Prevalence of tuberculosis (per 100 000 population)","2009","Togo",,"90"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Georgia",,"4.6"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Turkmenistan",,"14"
"Prevalence of tuberculosis (per 100 000 population)","2012","Uruguay",,"34"
"Prevalence of tuberculosis (per 100 000 population)","2007","Djibouti",,"901"
"Prevalence of tuberculosis (per 100 000 population)","2012","Angola",,"474"
